agents,solveConicGibbsGreedyDynamic
"[(0, 0.005317156409870183, 0.8850911588558927), (1, 0.9254940980440971, 0.437975580954465), (2, 0.15253417246314438, 0.34288429849818447), (3, 0.8742403364520654, 0.9054877430354348), (4, 0.007821977404738112, 0.5727723626764945), (5, 0.0047347278670452075, 0.03001841993501153), (6, 0.9086101242758996, 0.6842773505675046), (7, 0.033324917003282106, 0.20896952997356155), (8, 0.4543428665069549, 0.08324753014106523), (9, 0.2685522885535325, 0.9054883431558293), (10, 0.1806536839550279, 0.8627870157651947), (11, 0.028165844466732093, 0.47231078920752356), (12, 0.779985114337836, 0.7074866486354965), (13, 0.6951850773405546, 0.6804754379689129), (14, 0.9269173789294547, 0.8776836549997122), (15, 0.6247019744704486, 0.8810252962360121), (16, 0.9673583566455534, 0.21242870203106157), (17, 0.42099289969885345, 0.6872022297697271), (18, 0.8086382925408561, 0.29361061927216503), (19, 0.19710091833785748, 0.9224124288004711), (20, 0.5870606619811619, 0.8345328430840776), (21, 0.4098608091860424, 0.1946750182710143), (22, 0.5215020033720895, 0.6053205571391179), (23, 0.24756580558881325, 0.6661868274860681), (24, 0.5345508972248955, 0.07399087809250549), (25, 0.20795995259588163, 0.39447633955650807), (26, 0.987425145634192, 0.5109337065247778), (27, 0.19058420810788645, 0.6550100994719721), (28, 0.6682251419869305, 0.39869759075874633), (29, 0.5146996284822299, 0.8853572977100743), (30, 0.23694632531118864, 0.6776476865201697), (31, 0.6299601099217117, 0.5161167445730739), (32, 0.4035772821061927, 0.06688306796539789), (33, 0.6579912989797944, 0.8561974062739821), (34, 0.28505092563820666, 0.02511295716795059), (35, 0.06705961483323908, 0.17397590008778174), (36, 0.27513069710619464, 0.22849297881962527), (37, 0.5737984288733355, 0.2546300665633311), (38, 0.5322994345827439, 0.3589052786316126), (39, 0.8803283248788198, 0.09062736884609002), (40, 0.06274220245275342, 0.6776190466983703), (41, 0.8726483985742653, 0.6133950845978532), (42, 0.638999519631098, 0.08723147377959883), (43, 0.37393809956179136, 0.6356294920213741), (44, 0.8687666976432652, 0.018867986732926778), (45, 0.06922416495185135, 0.1097350057097416), (46, 0.46746078631116894, 0.32220438367272286), (47, 0.13804370784879783, 0.06782415758043536), (48, 0.05392204796783551, 0.7750567710960238), (49, 0.5821294277263835, 0.5243143169495831)]",2.6576456519459906
"[(0, 0.6327719123337896, 0.39459996604765835), (1, 0.7561266600420941, 0.04529726057190975), (2, 0.8800509196171493, 0.0032810549848039106), (3, 0.02643559455108646, 0.10056005381598809), (4, 0.5361398645335749, 0.03438716438791323), (5, 0.25749179259085875, 0.01471285558419888), (6, 0.0685834670409311, 0.8759606905856654), (7, 0.9259392640765247, 0.13910341517600677), (8, 0.13771759299130137, 0.06923584233576341), (9, 0.6257733364873227, 0.16605259021759744), (10, 0.6892173183259502, 0.900447304766301), (11, 0.28342912009056553, 0.6199116561115842), (12, 0.1279585612683357, 0.8754182952980584), (13, 0.28899521897686, 0.32179751399515377), (14, 0.17525087717031596, 0.5060287444030425), (15, 0.19259653721396797, 0.03140422615048655), (16, 0.22742708982102422, 0.8570216077796619), (17, 0.41717938126222165, 0.7932718049845309), (18, 0.5604001862071705, 0.9784444557761124), (19, 0.6379704668949981, 0.7789549723347192), (20, 0.30515691427477043, 0.22206463887459627), (21, 0.0849910656801598, 0.9305356129460854), (22, 0.48861192137278064, 0.17197424424986796), (23, 0.05461930637157009, 0.9567021037311055), (24, 0.4197279580691977, 0.6471777791620311), (25, 0.39296860578855064, 0.4672789204219614), (26, 0.9106032876570632, 0.17146235741368643), (27, 0.14389814254520328, 0.43008924126373793), (28, 0.20311850666895748, 0.03735089096767008), (29, 0.0735366141458853, 0.555011220845367), (30, 0.7961494292983042, 0.5704766781969712), (31, 0.1649433693115293, 0.8368013311882105), (32, 0.49234912170134704, 0.7554773853793243), (33, 0.14580652670437888, 0.9251535769281033), (34, 0.19474311986350368, 0.47902487625731116), (35, 0.9725220637232599, 0.8716128070378535), (36, 0.8953833630219101, 0.017107365205072056), (37, 0.5247082611177034, 0.41853716704884214), (38, 0.5030022320037129, 0.1282682578921469), (39, 0.28592762813827655, 0.0016454172553573843), (40, 0.07340135826135685, 0.7227041330460586), (41, 0.6789433677432102, 0.350902409544638), (42, 0.04084816711216954, 0.3087010207145796), (43, 0.4261611476083186, 0.3079568135747157), (44, 0.8821375942105546, 0.09623918506833917), (45, 0.21802354131035684, 0.08326971944862405), (46, 0.11279662361029952, 0.45729280492269564), (47, 0.7435491404194299, 0.5416251900804864), (48, 0.7247027011070467, 0.052281810855359656), (49, 0.837045167304164, 0.4242159245317545)]",2.2229160352946904
"[(0, 0.7958245104320119, 0.4212357410665324), (1, 0.7713596688516969, 0.2548026807149991), (2, 0.18668770727726225, 0.8608594478458287), (3, 0.14581192632750006, 0.6816169650633637), (4, 0.2812486262899201, 0.33182112452032697), (5, 0.5938134475862132, 0.2714976319279413), (6, 0.03494796262442601, 0.034939988215638595), (7, 0.7406855359329755, 0.35872920790261387), (8, 0.6720885829767074, 0.7848038992244665), (9, 0.2985063068647188, 0.9884319609123193), (10, 0.06448304308201458, 0.4497563444989464), (11, 0.5599661620081228, 0.6917230376124878), (12, 0.07812556337124255, 0.40290499670167246), (13, 0.6183052789655936, 0.8370163012810373), (14, 0.8900857781373841, 0.7506065562035842), (15, 0.1729171802940005, 0.5002466392090509), (16, 0.7503049243072695, 0.9620500104571557), (17, 0.30716623318051683, 0.3570149833265338), (18, 0.26507996427649727, 0.7177317831402952), (19, 0.6307139653057503, 0.8562014765667687), (20, 0.04268324002902446, 0.5850658594368172), (21, 0.28058421593478167, 0.9743014094556268), (22, 0.3626977671257685, 0.05624913565881384), (23, 0.13550615501650576, 0.7291295259716197), (24, 0.9380433346322121, 0.5510693843607426), (25, 0.4558817824079061, 0.42968597581141876), (26, 0.8185846287281676, 0.21448614358837903), (27, 0.5912914802263438, 0.48506116427602364), (28, 0.6702999805006211, 0.7755578300769401), (29, 0.6770010210705446, 0.1601959957934952), (30, 0.8966940444211269, 0.13290772225813852), (31, 0.25257921120214866, 0.4617579940784097), (32, 0.2777575023265242, 0.6278754727171455), (33, 0.580366209325031, 0.8341096169025464), (34, 0.04581660039867863, 0.8518538271040632), (35, 0.9725539545125004, 0.1225737988363026), (36, 0.7840577727557655, 0.6728724853301151), (37, 0.3149665447954467, 0.44963026110204185), (38, 0.49636607928623555, 0.1533013766510135), (39, 0.08462996439899928, 0.4206248623436333), (40, 0.35452508782600245, 0.6988076808556282), (41, 0.7788111887853929, 0.7986305056798071), (42, 0.5103456770776647, 0.519492489077329), (43, 0.5244722034559555, 0.44923800948737225), (44, 0.9468822848569812, 0.5134617973263446), (45, 0.030451173838355605, 0.4792168300044294), (46, 0.45250841647248985, 0.26166529564095453), (47, 0.4284050375673901, 0.026299447183862013), (48, 0.6321102773909272, 0.39858494527821187), (49, 0.3036841187618673, 0.6993885701306901)]",2.671479958847534
"[(0, 0.2579322363745471, 0.8104003897167944), (1, 0.45114154706009024, 0.2875533063734178), (2, 0.08513373689637738, 0.9112584853214635), (3, 0.8676994827203273, 0.2278661003599547), (4, 0.22294021533678132, 0.24149978958256457), (5, 0.2283788643313438, 0.5063607092492717), (6, 0.7475359281264005, 0.4147784786721235), (7, 0.3917032087249894, 0.909770988608606), (8, 0.30231248834329016, 0.5432218464979277), (9, 0.5643929403594606, 0.7164210055932575), (10, 0.7324589529652813, 0.14885638895853925), (11, 0.6359676807525483, 0.7888039880902705), (12, 0.8414101570348439, 0.5797172260968045), (13, 0.17656202454723535, 0.6918437846775582), (14, 0.3973868219806812, 0.7996052262840411), (15, 0.906372666861346, 0.1250216680779851), (16, 0.9320501437693309, 0.4402627444229299), (17, 0.5613016247542167, 0.18733228776877797), (18, 0.4071133031952102, 0.6601382096008609), (19, 0.07771250543442942, 0.3531239711143881), (20, 0.5434613525792892, 0.526331924538729), (21, 0.2545235003335726, 0.13705693028221588), (22, 0.8922197721604548, 0.7251198353169538), (23, 0.23198472230019596, 0.5952353892333786), (24, 0.3455163744428694, 0.30404343478378026), (25, 0.14423636375503945, 0.49048296139433656), (26, 0.8050527550574246, 0.6308074143437934), (27, 0.49682806802071755, 0.8984385313437042), (28, 0.0759454360242352, 0.3620969900697881), (29, 0.27003068835679, 0.5890990844476528), (30, 0.7822623805411341, 0.12163228026636708), (31, 0.8708361874764143, 0.632809176780165), (32, 0.443974422374138, 0.4327221968320545), (33, 0.2382478369200054, 0.950772671390056), (34, 0.032723305357958865, 0.4796856483716728), (35, 0.08495405078369067, 0.41568779681262913), (36, 0.825769058662617, 0.42102457932287674), (37, 0.2080327963645101, 0.3026245602334625), (38, 0.369988016334326, 0.4722208208474856), (39, 0.4762134807639661, 0.30573507591267235), (40, 0.12630320277209617, 0.052937769759820674), (41, 0.7692686372820617, 0.5434757546261357), (42, 0.15701391731582537, 0.5458913078739709), (43, 0.5894110563675055, 0.7676014394387614), (44, 0.8810428340683586, 0.7747222546891508), (45, 0.5567982894549577, 0.08297294486724527), (46, 0.6127708009818313, 0.9311892456207069), (47, 0.49304897336966236, 0.3134489168942719), (48, 0.4213530339043847, 0.635443402588436), (49, 0.6777374193229095, 0.743481050867774)]",2.308918471073304
"[(0, 0.3952566891094237, 0.37490157692589177), (1, 0.09540655140073451, 0.6828135966757387), (2, 0.2709773342913766, 0.2695420168651834), (3, 0.49049994241945816, 0.6474720781414809), (4, 0.45463539976607903, 0.9480389061230016), (5, 0.24654342670697593, 0.08574554673757773), (6, 0.16508179861183392, 0.39216630297301724), (7, 0.5634763787760009, 0.5576948959806842), (8, 0.3329465725113979, 0.0025466505391834593), (9, 0.21107067957806458, 0.849684667584437), (10, 0.36780685714490846, 0.19326197215188956), (11, 0.6026347642469104, 0.5571227764711709), (12, 0.9544921652838811, 0.38583253228838754), (13, 0.8531865697178713, 0.9531022021251699), (14, 0.4549347376818573, 0.8995714182491219), (15, 0.04745209638766146, 0.5091839773112793), (16, 0.22804285083318, 0.5061935838033863), (17, 0.5425117225729481, 0.2600422207127613), (18, 0.6940168911340641, 0.14539274736089802), (19, 0.509734233068774, 0.5541883482771636), (20, 0.17323797206101899, 0.9742937484909875), (21, 0.670090592288308, 0.4918921442028059), (22, 0.4394834578661593, 0.36835100582218117), (23, 0.8117969957820438, 0.7727297420212825), (24, 0.3321381395020325, 0.6268937323804543), (25, 0.7427367226257376, 0.558640947376109), (26, 0.02420859160578015, 0.7479600121287686), (27, 0.861276009485977, 0.9247190908626797), (28, 0.3711079709946047, 0.9089481055797882), (29, 0.3387617627366464, 0.3569639158699828), (30, 0.3257263257458044, 0.9687143793201767), (31, 0.8261235214975847, 0.22272422518857182), (32, 0.8437919906777699, 0.8297612913916327), (33, 0.7369118485172527, 0.1626232082505461), (34, 0.2375940310120661, 0.19827775660146985), (35, 0.47767071383341864, 0.8044190043739989), (36, 0.34441634176229097, 0.46785618672451434), (37, 0.42275393296706776, 0.49882318751957133), (38, 0.611060705994168, 0.709772032933375), (39, 0.690404598580313, 0.4624512037605929), (40, 0.6862790215213739, 0.36037266591893924), (41, 0.3162038388102435, 0.516417621368886), (42, 0.9467505520335379, 0.39576473528098344), (43, 0.3872237812896785, 0.7756478607569287), (44, 0.4521334454641319, 0.0907035062174959), (45, 0.060642403001083034, 0.451718540053899), (46, 0.548365932274067, 0.38805567300006116), (47, 0.8746567948015146, 0.1570967181988261), (48, 0.2740672033078707, 0.6152530025646772), (49, 0.28199280705582164, 0.620484734168668)]",3.383613859089235
"[(0, 0.7840738150334349, 0.6983748883175608), (1, 0.43182999467501504, 0.6160798588306012), (2, 0.054193849062274646, 0.23653611682383258), (3, 0.2411030695589781, 0.4170248925546617), (4, 0.5305346723265693, 0.7536516962219045), (5, 0.9911980802279862, 0.836288205568166), (6, 0.7493654887890061, 0.8566119008857243), (7, 0.7071024883903554, 0.7147582243478893), (8, 0.661919651880661, 0.9017810602265012), (9, 0.3602572195678333, 0.6175136413255558), (10, 0.946067201696241, 0.025025690345185092), (11, 0.922399529433802, 0.5012738316616066), (12, 0.2747177437272511, 0.29718253176396603), (13, 0.0688635102276004, 0.16697628160999), (14, 0.9236831273196336, 0.128501132176297), (15, 0.3064837107205488, 0.8653224995818889), (16, 0.2950023047666319, 0.5345754023667844), (17, 0.15301817567455966, 0.5088202888676538), (18, 0.16668807392451124, 0.6382238166006468), (19, 0.9850710666711885, 0.5809758842331709), (20, 0.16865174098572222, 0.26502556812067535), (21, 0.012272092686985814, 0.6712626575002154), (22, 0.2073965171681279, 0.36917852394359885), (23, 0.7293631387309572, 0.05930908185878081), (24, 0.908504715979519, 0.5344432283923185), (25, 0.42423238235720406, 0.5885154374427796), (26, 0.9180699258602898, 0.8090301320607436), (27, 0.5757652622027233, 0.8682859392248774), (28, 0.05253185286205386, 0.2349349591409795), (29, 0.27027895015132364, 0.36526260311241143), (30, 0.7968672848551853, 0.3868296602443866), (31, 0.646554783123801, 0.014628586144017297), (32, 0.06200963611447874, 0.9532287053291898), (33, 0.656339555976149, 0.37125988310769464), (34, 0.06490579576141486, 0.6541533195666821), (35, 0.3452492591674947, 0.11863503424604915), (36, 0.6522354174563189, 0.5432655285650064), (37, 0.8840453502636231, 0.37385350454660793), (38, 0.7591402937856051, 0.8883188090388354), (39, 0.8035795238664767, 0.973698362998493), (40, 0.6275473119508638, 0.5994010004736917), (41, 0.04436085425365599, 0.02034911712561871), (42, 0.15470942716728853, 0.37105669624598947), (43, 0.09541292826497694, 0.7238919222527159), (44, 0.6461373870170035, 0.543915237794369), (45, 0.8716475897485363, 0.48888988537637423), (46, 0.9577632617341592, 0.9007920758837112), (47, 0.9543942041997768, 0.4230687080396639), (48, 0.840080328784251, 0.5698080297408837), (49, 0.12815505225434687, 0.44121587387503214)]",3.823241867128216
"[(0, 0.2770046100052599, 0.7978912932858568), (1, 0.12323611665240763, 0.19018827631769197), (2, 0.9778935772960395, 0.5552169006691027), (3, 0.29573814107259866, 0.40326064328115563), (4, 0.4048737273573779, 0.2165004107776839), (5, 0.0089931004096383, 0.8197998588108751), (6, 0.13280162541214202, 0.27404457981599095), (7, 0.6448173141524645, 0.6276753706022118), (8, 0.8439394477902077, 0.09420794127067766), (9, 0.26353564785348194, 0.8614204363352037), (10, 0.8854709106311751, 0.8883594689742765), (11, 0.7300947361495557, 0.2909779600944894), (12, 0.9002140157627453, 0.647058616306054), (13, 0.7824068008567044, 0.26147952106286254), (14, 0.40852882274282776, 0.00903776262015421), (15, 0.7234956171788037, 0.2813450782721276), (16, 0.10726846468092166, 0.6010094313827008), (17, 0.6698744868104575, 0.42531628475749317), (18, 0.35043944587091813, 0.5525767052241359), (19, 0.2962897479250549, 0.3674946235923947), (20, 0.4305517639187001, 0.29250292802290645), (21, 0.18308916242988338, 0.8862883018761359), (22, 0.6623633634830014, 0.258523086480554), (23, 0.6225461473810702, 0.4189997694230645), (24, 0.1422568295241815, 0.009465013458126004), (25, 0.7547376585279184, 0.10048277900493252), (26, 0.38212651523341046, 0.12985405186275079), (27, 0.9116202875757357, 0.4358700162721245), (28, 0.19458792483833542, 0.813181109461423), (29, 0.7139386569037035, 0.5392427812854178), (30, 0.3377309835912412, 0.4453187126183574), (31, 0.8748785563844976, 0.6972950261756861), (32, 0.1531115951344606, 0.7657370144391444), (33, 0.08826408785312401, 0.808382354453577), (34, 0.2961107670134847, 0.9014404224163639), (35, 0.8127215298901123, 0.9216848533726537), (36, 0.7326380285513213, 0.4549169360632995), (37, 0.6289489534049504, 0.4996756453889075), (38, 0.2906779650553679, 0.6858474023325754), (39, 0.5304591178327409, 0.5447011365026974), (40, 0.8826602855946463, 0.7342188695391624), (41, 0.5805551602442715, 0.7226289116216681), (42, 0.8521857130923491, 0.27171777512491047), (43, 0.2902640119642842, 0.5952804506662881), (44, 0.051975423643921936, 0.4252505666773426), (45, 0.7522196844097723, 0.4858619055181368), (46, 0.798615673218183, 0.060730847979351354), (47, 0.6398237329506152, 0.5294335100216158), (48, 0.04356216749767616, 0.8061919517675353), (49, 0.5071517400900504, 0.44482175200736307)]",2.226965577455422
"[(0, 0.478472775515165, 0.4785211221710104), (1, 0.7831970675113269, 0.5993354772258024), (2, 0.8287821570405601, 0.6877957488056884), (3, 0.6136530621230766, 0.29637306737527724), (4, 0.9303420997433179, 0.5888102729468896), (5, 0.922337182139484, 0.489858142074298), (6, 0.11925004897479818, 0.3213639992727164), (7, 0.25485295075190495, 0.6427499705980628), (8, 0.7262544717006151, 0.9803142481137707), (9, 0.4949643910246443, 0.9604160157373695), (10, 0.19470293614723932, 0.2689509398586759), (11, 0.11890642482185632, 0.49614354316963627), (12, 0.17946153832647926, 0.8775022244497749), (13, 0.5786742968218117, 0.485552604544527), (14, 0.2725799180458769, 0.6720357328096407), (15, 0.18454384012805103, 0.9915099476982445), (16, 0.7727307742864775, 0.9434737189962563), (17, 0.6602567358552819, 0.25034824294394376), (18, 0.5314353289924074, 0.652182016288203), (19, 0.9940827234590132, 0.04298548729447649), (20, 0.6066391297237496, 0.18431031599116632), (21, 0.10875705148136872, 0.35010586574007885), (22, 0.9162887071062801, 0.6795433415792432), (23, 0.11755832805907551, 0.0373801374579692), (24, 0.77246015349662, 0.6326757027652502), (25, 0.7946271549785948, 0.8800367611041144), (26, 0.002486933302442318, 0.7989463751135676), (27, 0.9049844509230179, 0.28137198765782523), (28, 0.9159682098013855, 0.41231030766410104), (29, 0.31821625812259746, 0.6769811606967999), (30, 0.5470650854418608, 0.41272982895049093), (31, 0.4349595180293313, 0.7742517585526527), (32, 0.7113104696837232, 0.6691356488650279), (33, 0.5889577873108509, 0.4414930042681784), (34, 0.4865776474411463, 0.8459640053524867), (35, 0.35948156357736893, 0.8823519433217492), (36, 0.47165560115202565, 0.47768926206240603), (37, 0.8887476526371414, 0.18177236910608596), (38, 0.8397935600944275, 0.6228023009649154), (39, 0.1990405710914016, 0.29388403470537605), (40, 0.5613808881394324, 0.651985830970098), (41, 0.7131991533821301, 0.007055831050959749), (42, 0.9805481627107271, 0.15502890886213472), (43, 0.5597284164361469, 0.7427686220803407), (44, 0.39711581790460293, 0.0008053710094247934), (45, 0.45119603389015617, 0.4001560832410799), (46, 0.44360669108158934, 0.5217068562022474), (47, 0.9347732704977485, 0.1703546065656708), (48, 0.34624753950297027, 0.5342251496000472), (49, 0.8393051942151623, 0.3560811512845661)]",3.32136990717761
"[(0, 0.6404439494464106, 0.6235494797098422), (1, 0.13156332690101302, 0.4282247723601452), (2, 0.9884873458780569, 0.44764430072142336), (3, 0.8644242327100223, 0.5375476309217908), (4, 0.6835294492915472, 0.8063800640974679), (5, 0.702433995064438, 0.4861980849730544), (6, 0.04471208991747244, 0.786937717304788), (7, 0.15010541170313618, 0.0211894288593798), (8, 0.1268827814116137, 0.08454393934630577), (9, 0.22707783881031218, 0.5494382967076981), (10, 0.5863505251229326, 0.9747547186995231), (11, 0.6876952415290087, 0.2749731086286057), (12, 0.9655020380667884, 0.23723489569052503), (13, 0.05635324389865848, 0.23114244710595677), (14, 0.9165052321897144, 0.35047276868144883), (15, 0.27405835180247407, 0.568895306407076), (16, 0.7364642916834219, 0.21404157790728262), (17, 0.5993278516581032, 0.6151114001969539), (18, 0.47584728689794353, 0.7064253378002743), (19, 0.5592428697841799, 0.007426918857819875), (20, 0.041495912071902175, 0.577095939826456), (21, 0.4282878414155581, 0.99532050136648), (22, 0.15070061484327235, 0.5532776673824125), (23, 0.9542489330031935, 0.13284787410702603), (24, 0.6593125071233731, 0.5155777011237083), (25, 0.5442772625824491, 0.29715316325067664), (26, 0.11914052401650899, 0.3258777175807551), (27, 0.5106991305416401, 0.467940300403738), (28, 0.07491661683529871, 0.9696750328487123), (29, 0.8058478451564407, 0.9780245482347694), (30, 0.30483524737640033, 0.3401948381107719), (31, 0.23306755609828633, 0.9677981179690515), (32, 0.8155415346440592, 0.24653843866398895), (33, 0.5386078576731214, 0.8150553524022908), (34, 0.5028665319922296, 0.20199385234948042), (35, 0.32079593115655913, 0.47229596763226067), (36, 0.5079967954594456, 0.10553241827175464), (37, 0.5452392166952026, 0.49930692991987013), (38, 0.6258289832297824, 0.9370935971862095), (39, 0.7305672835158127, 0.9726188720705767), (40, 0.23786847998607819, 0.9147318394799521), (41, 0.38315375574216015, 0.12940575783876673), (42, 0.5544034822546738, 0.7100242090745572), (43, 0.252679233417339, 0.36929886898650466), (44, 0.32699404168272284, 0.4702045607324393), (45, 0.21635134407241574, 0.6307038583373928), (46, 0.3820755762087572, 0.6949173958304011), (47, 0.9700859283893497, 0.78112443498522), (48, 0.004690734442082567, 0.3666582895689334), (49, 0.7871799827675913, 0.15593566795762626)]",4.256290831932995
"[(0, 0.5540384894140336, 0.041484394575898476), (1, 0.6347825577836566, 0.936274311865612), (2, 0.7402526689773383, 0.7279607519606606), (3, 0.6165359287904645, 0.3919899569237223), (4, 0.07570533735531626, 0.9780305152486433), (5, 0.4899264452346844, 0.1058622786927329), (6, 0.9296523505925273, 0.1561902476501611), (7, 0.17129524018953757, 0.5308038359541886), (8, 0.2550620112261055, 0.15961733314418847), (9, 0.4977579275178715, 0.737963581331001), (10, 0.900930039414188, 0.0758133801684665), (11, 0.6991062592285592, 0.9409023198825957), (12, 0.5857786286048214, 0.44399051650065036), (13, 0.5759846115739772, 0.3456951615128976), (14, 0.40997700701761575, 0.2966736424416738), (15, 0.5088885685784387, 0.29886694029767935), (16, 0.12141645821931046, 0.9656759539505106), (17, 0.273486965436352, 0.7730152563157919), (18, 0.4324429000057335, 0.7998493434382025), (19, 0.06258226950449919, 0.4656095346427175), (20, 0.55795592348215, 0.9443317040403676), (21, 0.10793147860133467, 0.040881575117580615), (22, 0.18375590258579455, 0.780707588907536), (23, 0.3264458415235748, 0.46938146413273274), (24, 0.2983970637587239, 0.3261435235150083), (25, 0.9669086966554415, 0.14841378088031432), (26, 0.7346477369661809, 0.8178051350475317), (27, 0.5934524736450453, 0.5523814404096646), (28, 0.926594404342983, 0.6834477866525277), (29, 0.1686588059291122, 0.06944094416043889), (30, 0.37626123170540793, 0.5968613215874968), (31, 0.24123492945946423, 0.15602205876790842), (32, 0.13914816820810472, 0.1639570673548738), (33, 0.20999187065967428, 0.3219865973765975), (34, 0.05941766852468877, 0.03863961474721456), (35, 0.6306593780186202, 0.7041098826840471), (36, 0.4788529087354856, 0.8840575819181121), (37, 0.3488576866452995, 0.23306971089471806), (38, 0.4659658466802131, 0.6609096919942677), (39, 0.6892442989501616, 0.6659815103947649), (40, 0.9284350093122948, 0.8862669694924952), (41, 0.5062380356522845, 0.14901502702487968), (42, 0.025661178965501796, 0.4355521832761303), (43, 0.5605017133025169, 0.20084905697095923), (44, 0.3766913426606783, 0.3197503746625525), (45, 0.3126882741992788, 0.06389826039803226), (46, 0.04967734662051837, 0.7511041768586468), (47, 0.09478175304315783, 0.8755578978367142), (48, 0.21674291593261985, 0.3025181321066768), (49, 0.9773476746431493, 0.09860692876611243)]",3.081980841712513
