agents,solveGreedy,solveMILP,solveConicGibbsGreedyDynamic
"[(0, 25, 0.25), (1, 75, 0.5), (2, 50, 0.75), (3, 25, 0.75), (4, 75, 0.75), (5, 75, 0.25), (6, 50, 0.75), (7, 75, 0.75), (8, 25, 0.5), (9, 50, 0.5), (10, 25, 0.5), (11, 50, 0.5), (12, 75, 0.25), (13, 75, 0.5), (14, 25, 0.25), (15, 75, 0.75), (16, 25, 0.75), (17, 75, 0.5), (18, 25, 0.75), (19, 50, 0.5), (20, 75, 0.25), (21, 25, 0.25), (22, 50, 0.25), (23, 25, 0.75), (24, 25, 0.25), (25, 75, 0.25), (26, 50, 0.75), (27, 50, 0.75), (28, 25, 0.75), (29, 25, 0.5), (30, 25, 0.25), (31, 25, 0.25), (32, 25, 0.75), (33, 50, 0.25), (34, 75, 0.75), (35, 25, 0.25), (36, 50, 0.75), (37, 25, 0.5), (38, 50, 0.75), (39, 75, 0.5), (40, 50, 0.75), (41, 25, 0.25), (42, 50, 0.25), (43, 25, 0.5), (44, 50, 0.75), (45, 25, 0.75), (46, 50, 0.75), (47, 75, 0.75), (48, 50, 0.25), (49, 25, 0.75)]",332.8124829609389,371.8955352400823,367.9630903056396
"[(0, 25, 0.5), (1, 50, 0.75), (2, 25, 0.75), (3, 50, 0.5), (4, 75, 0.25), (5, 50, 0.25), (6, 75, 0.75), (7, 50, 0.75), (8, 50, 0.75), (9, 25, 0.25), (10, 25, 0.5), (11, 50, 0.5), (12, 75, 0.5), (13, 50, 0.75), (14, 75, 0.75), (15, 50, 0.5), (16, 25, 0.25), (17, 50, 0.75), (18, 50, 0.5), (19, 25, 0.5), (20, 75, 0.25), (21, 50, 0.5), (22, 50, 0.75), (23, 50, 0.25), (24, 25, 0.75), (25, 25, 0.25), (26, 75, 0.5), (27, 75, 0.25), (28, 25, 0.25), (29, 75, 0.25), (30, 50, 0.25), (31, 75, 0.75), (32, 50, 0.25), (33, 75, 0.75), (34, 75, 0.25), (35, 50, 0.5), (36, 50, 0.5), (37, 75, 0.5), (38, 75, 0.5), (39, 50, 0.75), (40, 75, 0.75), (41, 75, 0.5), (42, 50, 0.75), (43, 75, 0.75), (44, 25, 0.25), (45, 50, 0.75), (46, 75, 0.75), (47, 25, 0.5), (48, 25, 0.75), (49, 75, 0.5)]",363.2811817349169,393.4565674193229,394.617277528989
"[(0, 75, 0.25), (1, 75, 0.75), (2, 25, 0.5), (3, 25, 0.75), (4, 50, 0.25), (5, 75, 0.25), (6, 75, 0.25), (7, 25, 0.25), (8, 25, 0.5), (9, 75, 0.75), (10, 50, 0.75), (11, 75, 0.25), (12, 25, 0.75), (13, 75, 0.5), (14, 75, 0.5), (15, 25, 0.25), (16, 25, 0.75), (17, 25, 0.75), (18, 50, 0.5), (19, 25, 0.75), (20, 75, 0.75), (21, 50, 0.5), (22, 25, 0.75), (23, 50, 0.5), (24, 25, 0.5), (25, 50, 0.5), (26, 50, 0.5), (27, 75, 0.5), (28, 75, 0.5), (29, 50, 0.25), (30, 25, 0.5), (31, 25, 0.75), (32, 75, 0.5), (33, 75, 0.25), (34, 25, 0.25), (35, 75, 0.5), (36, 25, 0.5), (37, 25, 0.25), (38, 25, 0.75), (39, 75, 0.75), (40, 75, 0.25), (41, 25, 0.5), (42, 50, 0.25), (43, 75, 0.5), (44, 75, 0.25), (45, 50, 0.25), (46, 50, 0.5), (47, 50, 0.5), (48, 75, 0.75), (49, 75, 0.75)]",301.171862224678,339.48544919856687,349.26012327871285
"[(0, 50, 0.25), (1, 50, 0.75), (2, 25, 0.5), (3, 50, 0.5), (4, 50, 0.5), (5, 75, 0.5), (6, 75, 0.25), (7, 50, 0.25), (8, 75, 0.25), (9, 25, 0.5), (10, 50, 0.25), (11, 25, 0.5), (12, 25, 0.25), (13, 75, 0.75), (14, 75, 0.5), (15, 25, 0.5), (16, 25, 0.75), (17, 75, 0.5), (18, 75, 0.75), (19, 25, 0.75), (20, 75, 0.25), (21, 50, 0.25), (22, 50, 0.5), (23, 50, 0.25), (24, 25, 0.75), (25, 50, 0.25), (26, 50, 0.75), (27, 50, 0.5), (28, 50, 0.5), (29, 25, 0.25), (30, 50, 0.5), (31, 75, 0.25), (32, 50, 0.25), (33, 25, 0.25), (34, 25, 0.75), (35, 25, 0.25), (36, 25, 0.5), (37, 75, 0.5), (38, 25, 0.25), (39, 50, 0.75), (40, 75, 0.5), (41, 25, 0.25), (42, 75, 0.5), (43, 25, 0.25), (44, 50, 0.75), (45, 50, 0.75), (46, 75, 0.25), (47, 25, 0.75), (48, 25, 0.5), (49, 25, 0.5)]",269.5312439385022,283.8981741319999,290.4323695102355
"[(0, 75, 0.25), (1, 75, 0.5), (2, 75, 0.75), (3, 50, 0.75), (4, 75, 0.5), (5, 75, 0.75), (6, 50, 0.75), (7, 50, 0.5), (8, 25, 0.5), (9, 75, 0.75), (10, 50, 0.25), (11, 50, 0.25), (12, 75, 0.75), (13, 50, 0.25), (14, 50, 0.5), (15, 50, 0.25), (16, 25, 0.75), (17, 25, 0.5), (18, 50, 0.25), (19, 25, 0.5), (20, 75, 0.5), (21, 75, 0.75), (22, 50, 0.25), (23, 25, 0.25), (24, 25, 0.5), (25, 75, 0.25), (26, 25, 0.5), (27, 25, 0.5), (28, 25, 0.5), (29, 25, 0.5), (30, 25, 0.25), (31, 25, 0.5), (32, 75, 0.25), (33, 50, 0.25), (34, 50, 0.25), (35, 75, 0.25), (36, 25, 0.5), (37, 50, 0.5), (38, 75, 0.5), (39, 75, 0.75), (40, 50, 0.25), (41, 25, 0.5), (42, 25, 0.5), (43, 50, 0.25), (44, 50, 0.75), (45, 75, 0.5), (46, 75, 0.25), (47, 75, 0.75), (48, 50, 0.5), (49, 75, 0.5)]",328.124984321705,381.92479376359233,376.82147031497
"[(0, 25, 0.25), (1, 50, 0.5), (2, 25, 0.5), (3, 25, 0.75), (4, 50, 0.5), (5, 25, 0.75), (6, 25, 0.75), (7, 50, 0.25), (8, 75, 0.25), (9, 25, 0.5), (10, 25, 0.5), (11, 50, 0.75), (12, 50, 0.5), (13, 25, 0.5), (14, 50, 0.25), (15, 50, 0.25), (16, 25, 0.75), (17, 50, 0.75), (18, 25, 0.75), (19, 50, 0.5), (20, 25, 0.25), (21, 25, 0.5), (22, 50, 0.75), (23, 50, 0.5), (24, 75, 0.5), (25, 75, 0.5), (26, 25, 0.5), (27, 50, 0.75), (28, 50, 0.25), (29, 75, 0.25), (30, 50, 0.25), (31, 50, 0.25), (32, 75, 0.5), (33, 25, 0.25), (34, 25, 0.5), (35, 50, 0.25), (36, 75, 0.5), (37, 75, 0.75), (38, 50, 0.5), (39, 25, 0.25), (40, 75, 0.25), (41, 25, 0.75), (42, 25, 0.5), (43, 75, 0.75), (44, 50, 0.75), (45, 50, 0.5), (46, 75, 0.5), (47, 75, 0.5), (48, 75, 0.75), (49, 25, 0.25)]",280.0781218769025,307.46877648421906,308.43226716083683
"[(0, 25, 0.5), (1, 50, 0.75), (2, 50, 0.75), (3, 75, 0.75), (4, 75, 0.75), (5, 25, 0.5), (6, 75, 0.25), (7, 75, 0.5), (8, 75, 0.25), (9, 25, 0.5), (10, 25, 0.25), (11, 50, 0.75), (12, 50, 0.5), (13, 50, 0.75), (14, 75, 0.5), (15, 75, 0.5), (16, 25, 0.25), (17, 25, 0.75), (18, 50, 0.25), (19, 75, 0.5), (20, 50, 0.25), (21, 75, 0.25), (22, 25, 0.25), (23, 25, 0.75), (24, 25, 0.75), (25, 75, 0.5), (26, 75, 0.75), (27, 50, 0.75), (28, 75, 0.5), (29, 25, 0.75), (30, 25, 0.5), (31, 25, 0.75), (32, 75, 0.75), (33, 75, 0.75), (34, 25, 0.25), (35, 50, 0.75), (36, 75, 0.5), (37, 25, 0.75), (38, 75, 0.5), (39, 25, 0.25), (40, 75, 0.5), (41, 50, 0.25), (42, 75, 0.75), (43, 50, 0.25), (44, 50, 0.75), (45, 75, 0.75), (46, 75, 0.5), (47, 25, 0.5), (48, 50, 0.25), (49, 25, 0.75)]",353.90624184862145,392.95268082292,401.7650692809752
"[(0, 50, 0.75), (1, 75, 0.75), (2, 75, 0.5), (3, 75, 0.75), (4, 25, 0.5), (5, 25, 0.75), (6, 50, 0.75), (7, 25, 0.25), (8, 25, 0.75), (9, 25, 0.25), (10, 75, 0.25), (11, 75, 0.75), (12, 25, 0.25), (13, 75, 0.25), (14, 75, 0.75), (15, 25, 0.75), (16, 50, 0.5), (17, 25, 0.75), (18, 25, 0.5), (19, 75, 0.25), (20, 25, 0.75), (21, 75, 0.25), (22, 25, 0.5), (23, 75, 0.5), (24, 75, 0.75), (25, 25, 0.25), (26, 25, 0.25), (27, 75, 0.25), (28, 50, 0.5), (29, 25, 0.75), (30, 75, 0.5), (31, 75, 0.25), (32, 75, 0.75), (33, 75, 0.5), (34, 50, 0.75), (35, 75, 0.5), (36, 25, 0.25), (37, 25, 0.25), (38, 25, 0.75), (39, 50, 0.5), (40, 75, 0.75), (41, 75, 0.5), (42, 25, 0.25), (43, 50, 0.25), (44, 75, 0.5), (45, 25, 0.25), (46, 75, 0.5), (47, 75, 0.5), (48, 25, 0.75), (49, 25, 0.75)]",328.12499520951894,381.9247937635192,377.29454778372974
"[(0, 50, 0.5), (1, 75, 0.5), (2, 25, 0.75), (3, 75, 0.25), (4, 50, 0.25), (5, 75, 0.75), (6, 25, 0.5), (7, 75, 0.5), (8, 75, 0.25), (9, 50, 0.75), (10, 25, 0.25), (11, 75, 0.5), (12, 25, 0.75), (13, 75, 0.25), (14, 25, 0.25), (15, 75, 0.25), (16, 25, 0.25), (17, 75, 0.25), (18, 50, 0.75), (19, 25, 0.75), (20, 25, 0.5), (21, 25, 0.5), (22, 50, 0.5), (23, 75, 0.5), (24, 50, 0.5), (25, 75, 0.75), (26, 50, 0.75), (27, 50, 0.75), (28, 25, 0.25), (29, 50, 0.5), (30, 50, 0.25), (31, 75, 0.75), (32, 75, 0.75), (33, 75, 0.75), (34, 75, 0.5), (35, 75, 0.25), (36, 75, 0.5), (37, 50, 0.5), (38, 25, 0.5), (39, 50, 0.5), (40, 75, 0.75), (41, 25, 0.75), (42, 75, 0.75), (43, 50, 0.25), (44, 25, 0.75), (45, 75, 0.75), (46, 50, 0.5), (47, 25, 0.25), (48, 25, 0.25), (49, 75, 0.5)]",374.99999443053,402.6985175052927,392.86858260877244
"[(0, 25, 0.75), (1, 50, 0.25), (2, 50, 0.25), (3, 25, 0.5), (4, 75, 0.5), (5, 50, 0.25), (6, 75, 0.25), (7, 50, 0.5), (8, 50, 0.5), (9, 25, 0.25), (10, 50, 0.25), (11, 25, 0.25), (12, 25, 0.75), (13, 25, 0.5), (14, 25, 0.5), (15, 75, 0.75), (16, 50, 0.5), (17, 75, 0.75), (18, 25, 0.75), (19, 75, 0.5), (20, 75, 0.75), (21, 75, 0.5), (22, 50, 0.25), (23, 75, 0.5), (24, 50, 0.25), (25, 25, 0.25), (26, 50, 0.5), (27, 50, 0.25), (28, 75, 0.75), (29, 50, 0.5), (30, 25, 0.25), (31, 50, 0.5), (32, 25, 0.75), (33, 50, 0.5), (34, 25, 0.25), (35, 75, 0.25), (36, 75, 0.5), (37, 75, 0.25), (38, 50, 0.75), (39, 75, 0.75), (40, 25, 0.75), (41, 25, 0.5), (42, 50, 0.5), (43, 25, 0.75), (44, 50, 0.25), (45, 25, 0.75), (46, 50, 0.75), (47, 50, 0.75), (48, 75, 0.5), (49, 25, 0.25)]",317.5781199533355,335.26241401750235,341.6490691479671
