agents,solveIndModel,solveNN,solveDynamic,solveStaticOverlap,solveStaticNonOverlap,solveStaticNoPool,solveGreedyDynamic,maxUtil
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.25, 0.25), (3, 0.25, 0.25), (4, 0.25, 0.25)]",0.103515625,0.0,0.1875,0.1875,0.1875,0.1875,0.1875,0.3125
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.25, 0.25), (3, 0.25, 0.25), (4, 0.5, 0.25)]",0.119140625,0.125,0.25,0.25,0.25,0.25,0.25,0.375
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.25, 0.25), (3, 0.25, 0.25), (4, 0.75, 0.25)]",0.134765625,0.1875,0.3125,0.3125,0.3125,0.3125,0.3125,0.4375
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.25, 0.25), (3, 0.25, 0.25), (4, 0.25, 0.5)]",0.12109375,0.125,0.25,0.25,0.25,0.25,0.25,0.375
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.25, 0.25), (3, 0.25, 0.25), (4, 0.5, 0.5)]",0.15234375,0.25,0.375,0.375,0.375,0.375,0.375,0.5
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.25, 0.25), (3, 0.25, 0.25), (4, 0.75, 0.5)]",0.18359375,0.375,0.5,0.5,0.5,0.5,0.5,0.625
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.25, 0.25), (3, 0.25, 0.25), (4, 0.25, 0.75)]",0.138671875,0.0,0.3125,0.3125,0.3125,0.3125,0.3125,0.4375
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.25, 0.25), (3, 0.25, 0.25), (4, 0.5, 0.75)]",0.185546875,0.0,0.5,0.5,0.5,0.5,0.5,0.625
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.25, 0.25), (3, 0.25, 0.25), (4, 0.75, 0.75)]",0.232421875,0.0,0.6875,0.6875,0.6875,0.6875,0.6875,0.8125
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.25, 0.25), (3, 0.5, 0.25), (4, 0.5, 0.25)]",0.1318359375,0.0,0.3125,0.3125,0.3125,0.3125,0.3125,0.4375
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.25, 0.25), (3, 0.5, 0.25), (4, 0.75, 0.25)]",0.1474609375,0.1875,0.375,0.375,0.375,0.375,0.375,0.5
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.25, 0.25), (3, 0.5, 0.25), (4, 0.25, 0.5)]",0.134765625,0.125,0.3125,0.3125,0.3125,0.3125,0.3125,0.4375
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.25, 0.25), (3, 0.5, 0.25), (4, 0.5, 0.5)]",0.166015625,0.25,0.4375,0.4375,0.4375,0.4375,0.4375,0.5625
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.25, 0.25), (3, 0.5, 0.25), (4, 0.75, 0.5)]",0.197265625,0.375,0.5625,0.5625,0.5625,0.5625,0.5625,0.6875
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.25, 0.25), (3, 0.5, 0.25), (4, 0.25, 0.75)]",0.1533203125,0.0,0.375,0.375,0.375,0.375,0.375,0.5
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.25, 0.25), (3, 0.5, 0.25), (4, 0.5, 0.75)]",0.2001953125,0.0,0.5625,0.5625,0.5625,0.5625,0.5625,0.6875
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.25, 0.25), (3, 0.5, 0.25), (4, 0.75, 0.75)]",0.2470703125,0.0,0.75,0.75,0.75,0.75,0.75,0.875
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.25, 0.25), (3, 0.75, 0.25), (4, 0.75, 0.25)]",0.16015625,0.375,0.4375,0.4375,0.4375,0.4375,0.4375,0.5625
